ip,id,key,port,bootnode
192.168.1.110,16Uiu2HAm1T5oB7nLDzDHAcT9Bby8gVhALvTxpLsnpX73wMEc9tXc,0x918340611957e4564FC89c7f597a33d74EDfE859,1478,True
192.168.1.111,16Uiu2HAmC6J3Ybrq2zicqbQNfhze6ztpSgzCraNXkqU3k5JG6C6K,0x92c3753e94fe4F844e2Cc46b28018845cCD21b97,1478,True
192.168.1.112,16Uiu2HAmKdL9RDo3Dd32k2PkHTPTzahuyT64ouQb1fabta1Xq6H1,0xce2a8bD9B2dd313C336D80A38c71935193A48eC5,1478,False
192.168.1.113,16Uiu2HAmJhHv9oDLsKkqHzdqq1Bj6aLFDXjXa8zmdbQEMckpdssD,0x6B38045b983145a645d98B7658B6B89222f6cf1D,1478,False
