ip,id,key,port,bootnode
192.168.1.120,16Uiu2HAmQJJyAgqydLtizW9wCBuovjALJpzHuFBFFgHwx3ykXzSU,0x4C40fF57b6Af1437e28bC8535d87b786613cab25,1478,True
192.168.1.121,16Uiu2HAmSyy9Xq8sttV8VXdQbdteNfKxeCBvg3UnE4va3hCWFbw8,0x51D4C524c5FC8b893cbd7D10b03e236c5bdbC820,1478,True
192.168.1.122,16Uiu2HAkw5jSgY2zVZ6QsApaK8Sgh9YyxqQXBhd3XhyeDq3K2x2n,0x82633a8bfaD30Bf7Fb3477938a85b5b3D850C6Ce,1478,False
192.168.1.123,16Uiu2HAkuo26ZaQWcjRxnqWqQbY5CCAEpehwbv64QiFcqPomeaa2,0x59030C364245C009ddaEB7Bf0691053A1bf0F697,1478,False
